ensembl_gene_id,external_gene_name
ENSMUSG00000000001,Gnai3
ENSMUSG00000000028,Cdc45
ENSMUSG00000000031,H19
ENSMUSG00000000037,Scml2
ENSMUSG00000000049,Apoh
ENSMUSG00000000056,Narf
ENSMUSG00000000078,Klf6
ENSMUSG00000000085,Scmh1
ENSMUSG00000000088,Cox5a
ENSMUSG00000000093,Tbx2
ENSMUSG00000000127,Fer
ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,Tfe3
ENSMUSG00000000142,Axin2
ENSMUSG00000000148,Brat1
ENSMUSG00000000149,Gna12
ENSMUSG00000000167,Pih1d2
ENSMUSG00000000168,Dlat
ENSMUSG00000000171,Sdhd
ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,Gpr107
ENSMUSG00000000223,Drp2
ENSMUSG00000000244,Tspan32
ENSMUSG00000000253,Gmpr
ENSMUSG00000000275,Trim25
ENSMUSG00000000276,Dgke
ENSMUSG00000000278,Scpep1
ENSMUSG00000000282,Mnt
ENSMUSG00000000290,Itgb2
ENSMUSG00000000295,Hddc2
ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000301,Pemt
ENSMUSG00000000303,Cdh1
ENSMUSG00000000317,Bcl6b
ENSMUSG00000000320,Alox12
ENSMUSG00000000326,Comt
ENSMUSG00000000339,Rtca
ENSMUSG00000000340,Dbt
ENSMUSG00000000346,Dazap2
ENSMUSG00000000355,Mcts1
ENSMUSG00000000365,Rnf17
ENSMUSG00000000374,Trappc10
ENSMUSG00000000378,Ccm2
ENSMUSG00000000384,Tbrg4
ENSMUSG00000000392,Fap
ENSMUSG00000000399,Ndufa9
ENSMUSG00000000409,Lck
ENSMUSG00000000411,Tssk3
ENSMUSG00000000416,Cttnbp2
ENSMUSG00000000420,Galnt1
ENSMUSG00000000439,Mkrn2
ENSMUSG00000000441,Raf1
ENSMUSG00000000486,Septin1
ENSMUSG00000000489,Pdgfb
ENSMUSG00000000532,Acvr1b
ENSMUSG00000000538,Tom1l2
ENSMUSG00000000552,Zfp385a
ENSMUSG00000000555,Itga5
ENSMUSG00000000561,Wdr77
ENSMUSG00000000563,Atp5pb
ENSMUSG00000000568,Hnrnpd
ENSMUSG00000000579,Dynlt1c
ENSMUSG00000000581,C1d
ENSMUSG00000000594,Gm2a
ENSMUSG00000000600,Krit1
ENSMUSG00000000605,Clcn4
ENSMUSG00000000628,Hk2
ENSMUSG00000000631,Myo18a
ENSMUSG00000000673,Haao
ENSMUSG00000000682,Cd52
ENSMUSG00000000686,Abhd15
ENSMUSG00000000693,Loxl3
ENSMUSG00000000706,Btn1a1
ENSMUSG00000000708,Kat2b
ENSMUSG00000000711,Rab5b
ENSMUSG00000000738,Spg7
ENSMUSG00000000739,Sult5a1
ENSMUSG00000000740,Rpl13
ENSMUSG00000000743,Chmp1a
ENSMUSG00000000751,Rpa1
ENSMUSG00000000753,Serpinf1
ENSMUSG00000000759,Tubgcp3
ENSMUSG00000000776,Polr3d
ENSMUSG00000000782,Tcf7
ENSMUSG00000000787,Ddx3x
ENSMUSG00000000792,Slc5a5
ENSMUSG00000000804,Usp32
ENSMUSG00000000811,Txnrd3
ENSMUSG00000000817,Fasl
ENSMUSG00000000823,Zfp512b
ENSMUSG00000000826,Dnajc5
ENSMUSG00000000827,Tpd52l2
ENSMUSG00000000838,Fmr1
ENSMUSG00000000861,Bcl11a
ENSMUSG00000000869,Il4
ENSMUSG00000000876,Pxmp4
ENSMUSG00000000881,Dlg3
ENSMUSG00000000884,Gnb1l
ENSMUSG00000000902,Smarcb1
ENSMUSG00000000903,Vpreb3
ENSMUSG00000000915,Hip1r
ENSMUSG00000000916,Nsun5
ENSMUSG00000000934,Top1mt
ENSMUSG00000000948,Gm38393
ENSMUSG00000000957,Mmp14
ENSMUSG00000000958,Slc7a7
ENSMUSG00000000959,Oxa1l
ENSMUSG00000000976,Heatr6
ENSMUSG00000000982,Ccl3
ENSMUSG00000001014,Icam4
ENSMUSG00000001016,Ilf2
ENSMUSG00000001017,Chtop
ENSMUSG00000001018,Snapin
ENSMUSG00000001025,S100a6
ENSMUSG00000001029,Icam2
ENSMUSG00000001034,Mapk7
ENSMUSG00000001036,Epn2
ENSMUSG00000001039,B9d1
ENSMUSG00000001052,Sec24b
ENSMUSG00000001054,Rmnd5b
ENSMUSG00000001056,Nhp2
ENSMUSG00000001062,Vps9d1
ENSMUSG00000001065,Zfp276
ENSMUSG00000001082,Mfsd10
ENSMUSG00000001089,Luzp1
ENSMUSG00000001098,Kctd10
ENSMUSG00000001100,Poldip2
ENSMUSG00000001105,Ift20
ENSMUSG00000001120,Pcbp3
ENSMUSG00000001123,Lgals9
ENSMUSG00000001127,Araf
ENSMUSG00000001128,Cfp
ENSMUSG00000001134,Uxt
ENSMUSG00000001138,Cnnm3
ENSMUSG00000001143,Lman2l
ENSMUSG00000001150,Mcm3ap
ENSMUSG00000001151,Pcnt
ENSMUSG00000001155,Ftcd
ENSMUSG00000001156,Mxd1
ENSMUSG00000001157,Gmcl1
ENSMUSG00000001158,Snrnp27
ENSMUSG00000001166,Oas1c
ENSMUSG00000001173,Ocrl
ENSMUSG00000001175,Calm1
ENSMUSG00000001211,Agpat3
ENSMUSG00000001227,Sema6b
ENSMUSG00000001228,Uhrf1
ENSMUSG00000001229,Dpp9
ENSMUSG00000001240,Ramp2
ENSMUSG00000001247,Lsr
ENSMUSG00000001248,Gramd1a
ENSMUSG00000001249,Hpn
ENSMUSG00000001270,Ckb
ENSMUSG00000001280,Sp1
ENSMUSG00000001281,Itgb7
ENSMUSG00000001285,Myg1
ENSMUSG00000001288,Rarg
ENSMUSG00000001289,Pfdn5
ENSMUSG00000001300,Efnb2
ENSMUSG00000001305,Rrp15
ENSMUSG00000001313,Rnd2
ENSMUSG00000001323,Srr
ENSMUSG00000001334,Fndc5
ENSMUSG00000001348,Acp5
ENSMUSG00000001366,Fbxo9
ENSMUSG00000001376,Vps50
ENSMUSG00000001380,Hars1
ENSMUSG00000001383,Zmat2
ENSMUSG00000001403,Ube2c
ENSMUSG00000001415,Smg5
ENSMUSG00000001416,Cct3
ENSMUSG00000001418,Glmp
ENSMUSG00000001419,Mef2d
ENSMUSG00000001420,Tmem79
ENSMUSG00000001424,Snd1
ENSMUSG00000001435,Col18a1
ENSMUSG00000001436,Slc19a1
ENSMUSG00000001440,Kpnb1
ENSMUSG00000001441,Npepps
ENSMUSG00000001445,Mrpl10
ENSMUSG00000001467,Cyp51
ENSMUSG00000001472,Tcf25
ENSMUSG00000001473,Tubb6
ENSMUSG00000001482,Def8
ENSMUSG00000001497,Pax9
ENSMUSG00000001506,Col1a1
ENSMUSG00000001517,Foxm1
ENSMUSG00000001518,Itfg2
ENSMUSG00000001520,Nrip2
ENSMUSG00000001521,Tulp3
ENSMUSG00000001524,Gtf2h4
ENSMUSG00000001525,Tubb5
ENSMUSG00000001542,Ell2
ENSMUSG00000001552,Jup
ENSMUSG00000001555,Fkbp10
ENSMUSG00000001569,Nom1
ENSMUSG00000001576,Ergic1
ENSMUSG00000001583,Tnk1
