gene_id	sample_A	sample_B	sample_C	sample_D	sample_E	sample_F
ENSMUSG00000000001	1041	905	1296	3481	1283	1921
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1043	1232	1664	2690	1825	2720
ENSMUSG00000000031	1819	914	1618	8618	1350	1222
ENSMUSG00000000037	19	11	18	48	37	29
ENSMUSG00000000049	18	1	4	24	1	1
ENSMUSG00000000056	14972	14768	21026	22962	22263	23622
ENSMUSG00000000058	1	0	0	0	0	0
ENSMUSG00000000078	888	607	911	1689	738	1180
ENSMUSG00000000085	402	483	744	898	811	1261
ENSMUSG00000000088	904	1212	1733	2434	1387	1267
ENSMUSG00000000093	7	8	16	23	17	29
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	1	0	0	3	0	0
ENSMUSG00000000125	0	0	0	0	1	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	113	198	199	422	251	333
ENSMUSG00000000131	846	777	1069	2079	1099	1351
ENSMUSG00000000134	499	552	670	1105	669	620
ENSMUSG00000000142	6	0	0	92	0	0
ENSMUSG00000000148	85	55	112	213	109	89
ENSMUSG00000000149	541	580	785	1096	697	966
ENSMUSG00000000154	0	0	1	1	0	0
ENSMUSG00000000157	0	0	0	3	0	0
ENSMUSG00000000159	0	0	0	0	0	0
ENSMUSG00000000167	15	8	15	31	5	3
ENSMUSG00000000168	529	568	673	1471	697	852
ENSMUSG00000000171	1247	1301	1502	3674	1654	2019
ENSMUSG00000000182	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	2
ENSMUSG00000000184	314	219	271	1000	458	214
ENSMUSG00000000194	372	365	569	920	543	729
ENSMUSG00000000197	0	0	0	0	0	0
ENSMUSG00000000202	0	0	0	0	0	0
ENSMUSG00000000204	1	0	0	0	1	0
ENSMUSG00000000214	0	0	0	1	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	34	29	28	122	46	62
ENSMUSG00000000244	3588	3362	4868	7203	4457	4533
ENSMUSG00000000247	0	0	0	8	0	0
ENSMUSG00000000248	0	0	0	0	0	0
ENSMUSG00000000253	13714	19675	28651	23440	21807	21783
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	2	0	0	1	0	0
ENSMUSG00000000275	1361	1234	2495	1980	1490	1426
ENSMUSG00000000276	28	14	11	80	14	28
ENSMUSG00000000278	99	123	157	216	157	256
ENSMUSG00000000282	262	280	377	514	358	399
ENSMUSG00000000290	47	9	6	63	6	12
ENSMUSG00000000295	84	52	74	202	70	70
ENSMUSG00000000296	1	6	4	16	3	9
ENSMUSG00000000301	15	18	25	47	31	35
ENSMUSG00000000303	10	1	7	10	2	0
ENSMUSG00000000305	1	0	0	0	0	0
ENSMUSG00000000308	0	0	0	0	0	0
ENSMUSG00000000317	31	35	37	63	40	28
ENSMUSG00000000318	0	0	0	0	2	0
ENSMUSG00000000320	4	7	1	23	2	2
ENSMUSG00000000325	132	143	151	529	218	433
ENSMUSG00000000326	1863	2326	3128	4375	3155	4706
ENSMUSG00000000339	305	452	603	869	592	528
ENSMUSG00000000340	55	29	32	123	49	40
ENSMUSG00000000346	5690	4822	6828	11612	6075	8470
ENSMUSG00000000355	121	136	177	403	143	157
ENSMUSG00000000359	0	0	0	0	0	0
ENSMUSG00000000365	34	29	31	107	21	37
ENSMUSG00000000374	2859	3756	5089	5061	4346	5105
ENSMUSG00000000378	583	824	1217	1245	1043	1247
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	820	838	1237	2407	1027	1052
ENSMUSG00000000385	0	3	0	0	0	0
ENSMUSG00000000386	1	0	0	0	0	0
ENSMUSG00000000392	2	0	1	6	4	2
ENSMUSG00000000394	0	0	0	0	0	0
ENSMUSG00000000399	1415	2156	2824	3460	2484	2535
ENSMUSG00000000402	0	0	0	0	0	0
ENSMUSG00000000409	131	409	635	184	608	843
ENSMUSG00000000411	14	9	4	11	13	15
ENSMUSG00000000416	48	41	87	42	51	35
ENSMUSG00000000420	8466	8914	12444	13738	10407	9199
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	247	223	317	638	344	532
ENSMUSG00000000440	6	0	0	2	1	0
ENSMUSG00000000441	851	960	1397	2167	1326	1875
ENSMUSG00000000486	534	159	291	500	357	203
ENSMUSG00000000489	11	1	0	8	4	0
ENSMUSG00000000530	3	0	0	2	0	2
ENSMUSG00000000531	1	0	0	2	0	0
ENSMUSG00000000532	36	23	26	192	42	52
ENSMUSG00000000538	177	208	272	532	255	366
ENSMUSG00000000544	0	0	0	1	0	0
ENSMUSG00000000552	87	6	11	84	14	17
ENSMUSG00000000555	76	7	11	66	13	9
ENSMUSG00000000560	0	0	0	0	0	1
ENSMUSG00000000561	595	347	465	1358	548	590
ENSMUSG00000000562	4	0	1	0	0	0
ENSMUSG00000000563	5459	7033	9430	11828	8048	8480
ENSMUSG00000000567	1	0	0	0	0	0
ENSMUSG00000000568	3618	4841	6371	10953	5936	9403
ENSMUSG00000000579	3	2	6	34	4	32
ENSMUSG00000000581	320	366	514	1107	458	527
ENSMUSG00000000594	52	0	10	17	1	1
ENSMUSG00000000600	954	988	1285	2273	1245	1704
